state,state_code,state_name,county_code,county
AL,01,Alabama,001,Autauga County
AK,02,Alaska,013,Aleutians East Borough
AZ,04,Arizona,001,Apache County
AR,05,Arkansas,001,Arkansas County
CA,06,California,001,Alameda County
CO,08,Colorado,001,Adams County
CT,09,Connecticut,001,Fairfield County
DE,10,Delaware,001,Kent County
DC,11,District of Columbia,001,District of Columbia
FL,12,Florida,001,Alachua County
GA,13,Georgia,001,Appling County
HI,15,Hawaii,001,Hawaii County
ID,16,Idaho,001,Ada County
IL,17,Illinois,001,Adams County
IN,18,Indiana,001,Adams County
IA,19,Iowa,001,Adair County
KS,20,Kansas,001,Allen County
KY,21,Kentucky,001,Adair County
LA,22,Louisiana,001,Acadia Parish
ME,23,Maine,001,Androscoggin County
MD,24,Maryland,001,Allegany County
MA,25,Massachusetts,001,Barnstable County
MI,26,Michigan,001,Alcona County
MN,27,Minnesota,001,Aitkin County
MS,28,Mississippi,001,Adams County
MO,29,Missouri,001,Adair County
MT,30,Montana,001,Beaverhead County
NE,31,Nebraska,001,Adams County
NV,32,Nevada,001,Churchill County
NH,33,New Hampshire,001,Belknap County
NJ,34,New Jersey,001,Atlantic County
NM,35,New Mexico,001,Bernalillo County
NY,36,New York,001,Albany County
NC,37,North Carolina,001,Alamance County
ND,38,North Dakota,001,Adams County
OH,39,Ohio,001,Adams County
OK,40,Oklahoma,001,Adair County
OR,41,Oregon,001,Baker County
PA,42,Pennsylvania,001,Adams County
RI,44,Rhode Island,001,Bristol County
SC,45,South Carolina,001,Abbeville County
SD,46,South Dakota,003,Aurora County
TN,47,Tennessee,001,Anderson County
TX,48,Texas,001,Anderson County
UT,49,Utah,001,Beaver County
VT,50,Vermont,001,Addison County
VA,51,Virginia,001,Accomack County
WA,53,Washington,001,Adams County
WV,54,West Virginia,001,Barbour County
WI,55,Wisconsin,001,Adams County
WY,56,Wyoming,001,Albany County
AS,60,American Samoa,010,Eastern District
GU,66,Guam,010,Guam
MP,69,Northern Mariana Islands,085,Northern Islands Municipality
PR,72,Puerto Rico,001,Adjuntas Municipio
UM,74,U.S. Minor Outlying Islands,300,Midway Islands
VI,78,U.S. Virgin Islands,010,St. Croix Island
